"climate_worry","age","gender","income","right_orientation","region","happiness","life_satisfaction","year","expo","years_education"
3,59,TRUE,4,0,"Pest",6,7,"1",-0.081084680557251,11
3,36,TRUE,5,8,"Pest",8,8,"1",-0.081084680557251,14
3,38,FALSE,2,7,"Győr-Moson-Sopron",8,7,"1",-0.0750955939292908,13
3,79,TRUE,7,4,"Győr-Moson-Sopron",8,8,"1",-0.0631174206733704,10
3,71,FALSE,6,5,"Győr-Moson-Sopron",7,7,"1",-0.572189784049988,10
4,69,TRUE,4,7,"Veszprém",5,5,"1",-0.0750955939292908,11
3,59,FALSE,8,3,"Veszprém",8,7,"1",-0.0571283340454102,13
4,40,TRUE,5,0,"Veszprém",5,0,"1",-0.0571283340454102,18
3,31,TRUE,6,7,"Veszprém",10,4,"1",-0.0870737671852112,13
4,66,FALSE,6,5,"Veszprém",10,3,"1",-0.0750955939292908,11
2,68,FALSE,5,3,"Pest",5,6,"1",-0.0691065073013306,13
3,43,FALSE,9,5,"Pest",8,7,"1",-0.0631174206733704,14
3,29,TRUE,8,9,"Pest",8,7,"1",-0.0930628538131714,11
3,75,FALSE,2,7,"Pest",7,6,"1",-0.0870737671852112,10
3,32,TRUE,8,8,"Pest",9,8,"1",-0.0930628538131714,11
3,43,FALSE,7,6,"Pest",8,6,"1",-0.0870737671852112,11
3,37,FALSE,7,8,"Pest",8,2,"1",-0.0511392474174499,13
3,15,TRUE,5,7,"Pest",8,3,"1",-0.0571283340454102,10
4,24,TRUE,3,7,"Borsod-Abaúj-Zemplén",2,2,"1",-0.0750955939292908,14
4,49,FALSE,5,9,"Borsod-Abaúj-Zemplén",7,7,"1",-0.081084680557251,18
3,19,TRUE,3,4,"Borsod-Abaúj-Zemplén",10,10,"1",-0.0750955939292908,8
4,55,FALSE,5,5,"Borsod-Abaúj-Zemplén",3,1,"1",-0.0511392474174499,13
2,70,FALSE,3,2,"Borsod-Abaúj-Zemplén",8,7,"1",-0.0451501607894897,11
2,38,TRUE,10,5,"Borsod-Abaúj-Zemplén",8,5,"1",-0.0691065073013306,16
4,57,TRUE,3,4,"Borsod-Abaúj-Zemplén",2,2,"1",-0.0511392474174499,11
4,21,FALSE,1,7,"Borsod-Abaúj-Zemplén",9,5,"1",-0.0631174206733704,11
2,63,FALSE,9,2,"Borsod-Abaúj-Zemplén",6,4,"1",-0.0571283340454102,16
3,65,TRUE,1,8,"Borsod-Abaúj-Zemplén",7,2,"1",-0.081084680557251,8
1,40,FALSE,7,10,"Veszprém",10,10,"1",-0.105041027069092,13
1,62,FALSE,1,6,"Veszprém",5,5,"1",-0.0750955939292908,10
1,24,FALSE,1,0,"Veszprém",10,10,"1",-0.572189784049988,13
2,80,FALSE,1,8,"Veszprém",8,10,"1",-0.572189784049988,13
